Nom,Texte,Image
"Edith Piaf, la môme","  Née en 1915 à Paris, Edith Piaf est incontestablement la chanteuse française la plus connue dans le monde. De très nombreux succès de son répertoire sont considérés comme des standards et ont été réinterprétés dans plusieurs langues : La Vie en rose, La Foule, L’hymne à l’amour, Non je ne regrette rien, etc. Eprouvée par une vie personnelle désastreuse, Edith Piaf s’est éteinte en 1963 à Grasse. Elle n’avait que 47 ans. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Edith-Piaf.jpg
"Simone Veil, la femme de loi","  Née en 1927 à Nice, Simone Veil est une rescapée de la Shoah et l’une des femmes politiques les plus influentes en France. Elle obtient son premier poste de ministre en 1974. L’année suivante, elle fait adopter une loi portant son nom qui dépénalise l’IVG (interruption volontaire de grossesse). C’est la première femme présidente du Parlement européen. Elle a également œuvré au sein du Conseil constitutionnel ainsi qu’à l’Académie française. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Simone-Veil.jpg
"Sheila, la chanteuse internationale","  Née en 1945 à Créteil, Sheila est une chanteuse de variétés qui débute sa carrière en 1962. Après avoir régné durant près de 20 ans sur les hit-parades français et européens et avoir importé le disco anglais en France, Sheila est la première Française à se classer au sommet des ventes de disques à travers le monde, dont les Etats-Unis avec le titre Spacer en 1979. Bien que discrète, l’artiste est engagée depuis de nombreuses années dans la lutte contre le sida. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Sheila.jpg
"Nana Mouskouri, la voix de la liberté","  Née en 1934 en Crête, Nana Mouskouri débute une carrière de chanteuse en 1958 et de femme politique en 1994. Installée à Paris dans les années 60, elle est l’une des artistes qui a vendu le plus de disques dans le monde. Nombre de ces chansons font aujourd’hui partie des classiques, comme le célèbre Je chante avec toi liberté, scandé par les foules lors les manifestations contre les attentats en France, début 2015. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Nana-Mouskouri.jpg
"Jeannie Longo, la sportive","  Née en 1958 à Annecy, Jeannie Longo est la coureuse cycliste de tous les records. Elle décroche son premier titre de championne du monde en 1985. Sa carrière sportive est marquée par un palmarès et une longévité exceptionnels : 59 titres nationaux, 13 titres de championne du monde et un titre olympique. Elle a été impliquée dans des affaires de dopage à deux reprises, en 1987 et 2011. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Jeannie-Longo.jpg
"Lady Di, la princesse de cœur","  Née en 1961 dans le comté de Norfolk, Diana Spencer épouse le prince de Galles en 1981 pour en divorcer en 1996. Très populaire, Lady Diana est engagée dans de nombreuses causes humanitaires, notamment la lutte contre le sida. En 1987, elle est l’une des premières célébrités à se faire photographier touchant une victime du virus. La princesse de Galles est décédée prématurément à la suite d’un accident de voiture, en 1997 à Paris. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Lady-Di.jpg
"Edith Cresson, la femme de pouvoir","  Née en 1934 à Boulogne-Billancourt, Édith Cresson est la première femme à avoir accédé au poste de Premier ministre en France, sous le gouvernement de François Mitterrand en 1991. Ce mandat est aussi le plus court de la Ve République à Matignon (à peine un an). Victime du sexisme de la part des médias comme de la classe politique, Edith Cresson a aussi été critiquée pour de nombreux propos jugés insultants. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Edith-Cresson.jpg
"Mylène Farmer, la désenchantée","  Née en 1961 au Québec, Mylène Farmer débute sa carrière dans la chanson en 1984. Aussi rare dans les médias que discrète sur sa vie privée, la chanteuse accumule les records : la meilleure vente de disques en France, le nombre de disques de diamants ou le nombre de titres classés au sommet des hit-parades. En 1991, Désenchantée est son plus grand succès en France et à l’étranger. Elle fait partie des chanteurs français les mieux payés. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Myl%C3%A8ne-Farmer.jpg
"Amélie Mauresmo, la conquérante","  Née en 1979 à Saint-Germain-en-Laye, Amélie Mauresmo débute sa carrière sportive en 1993 pour y mettre un terme en 2009. Numéro 1 mondiale à la WTA en 2004 et 2006, elle est la joueuse de tennis française la plus décorée avec un titre olympique et deux titres du Grand Chelem. Nommée Chevalier de la Légion d’honneur en 2006, Amélie Mauresmo se classe régulièrement parmi les sportifs préférés des Français. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Am%C3%A9lie-Mauresmo.jpg
"Ellen MacArthur, l’aventurière","  Née en 1976 au Royaume-Uni, Ellen MacArthur est une navigatrice engagée. Après être arrivée deuxième au Vendée Globe 2000-2001, elle bat le record du tour du monde à la voile en solitaire en 2005 et crée sa fondation deux ans plus tard dans l’objectif de construire un avenir durable. Ellen MacArthur parle couramment le français. L’expression « A donf » inscrite sur ses bateaux est d’ailleurs sa favorite ! ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Ellen-MacArthur.jpg
"Madonna, la star planétaire","  Née en 1958 à Bay City, Madonna est une artiste et femme d’affaires américaine qui a débuté sa carrière dans la chanson en 1983. Engagée et provocatrice, elle connaît rapidement un succès mondial qui lui vaut le surnom de « reine de la pop ». Selon le Guinness des records en 2005, elle est la femme qui a vendu le plus de disques dans l’histoire de la musique. Madonna s’entoure régulièrement de collaborateurs français. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Madonna.jpg
"Ingrid Betancourt, la captive","  Née en 1961 en Colombie, Ingrid Betancourt est une femme politique enlevée par les Forces armées révolutionnaires de Colombie (FARC) en 2002 alors qu’elle fait campagne pour l’élection présidentielle. L’enlèvement suscite une vive émotion en France, où le gouvernement tente des négociations pour la libérer. La Franco-Colombienne est délivrée en 2008. Désignée présidente d’honneur internationale des Verts, Ingrid Betancourt a depuis reçu de nombreuses distinctions. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Ingrid-Betancourt.jpg
"Aung San Suu Kyi, la Dame de Rangoon","  Née à Rangoun en 1945, Aung San Suu Kyi est une femme politique birmane dont le sort a ému et mobilisé le monde entier, dont la France. En 1990, son parti opposé à la dictature en Birmanie, la Ligue nationale pour la démocratie, remportent les élections mais sont annulées par la junte militaire. Aung San Suu Kyi est alors enfermée pour n’être libérée qu’en 2010. Neuf fois lauréate au prix Nobel, elle est élue députée en 2012. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Aung-San-Suu-Kyi.jpg
"Christine Lagarde, la femme influente","  Née en 1956 à Paris, Christine Lagarde entame une carrière d’avocate et de femme d’affaires avant de se lancer en politique. De 2005 à 2011, elle dirige ainsi plusieurs ministères, dont celui de l’économie. En 2011, elle est la première femme à occuper le poste de directrice générale du FMI (Fonds monétaire international). Elle est la 5e femme la plus puissante dans le monde, selon le magazine américain Forbes. ",https://www.interflora.fr/blog/wp-content/uploads/2015/03/Christine-Lagarde.jpg
Greta Thunberg: la voix de la jeunesse pour la protection de l’environnement,"Greta Thunberg est une activiste suédoise née le 3 janvier 2003 à Stockholm, en Suède. Elle est devenue mondialement célèbre pour son engagement en faveur de l action climatique et de la lutte contre le changement climatique.",https://www.femmescelebres.com/wp-content/uploads/2023/03/Greta_Thunberg_4.jpg
"Nadia Comaneci, la plus grande gymnaste","Nadia Comaneci est une gymnaste roumaine née le 12 novembre 1961 à Gheorgheni, en Roumanie. Elle est surtout connue pour ses performances exceptionnelles aux Jeux olympiques d été de 1976 à Montréal, où elle a marqué l histoire de la gymnastique avec plusieurs réalisations importantes.",https://www.femmescelebres.com/wp-content/uploads/2010/11/Capture-d’écran-2011-01-27-à-07.10.19-300x161.png
"Anne-Sophie Pic, la cuisinière étoilée","Anne-Sophie Pic est une célèbre cheffe cuisinière française, née le 12 juillet 1969 à Valence, en France. Elle appartient à la célèbre famille Pic, connue pour ses talents culinaires depuis plusieurs générations.",https://www.femmescelebres.com/wp-content/uploads/2010/10/pic-150x150.jpg
"Jane Goodall, la grande primatologue","Jane Goodall est une primatologue renommée et une défenseure de l environnement née le 3 avril 1934 à Londres, au Royaume-Uni. Elle est principalement connue pour ses recherches révolutionnaires sur les chimpanzés en Afrique, ainsi que pour son engagement passionné en faveur de la conservation de la faune et de la protection de l environnement.",https://www.femmescelebres.com/wp-content/uploads/2010/10/Capture-d’écran-2011-01-26-à-09.59.51-195x110.png
"Billie Holiday, l’âme du jazz américain","Billie Holiday, de son vrai nom Eleanora Fagan, est une icône légendaire du jazz américain, née le 7 avril 1915 à Philadelphie, en Pennsylvanie, et décédée le 17 juillet 1959 à New York.",http://www.femmescelebres.com/wp-content/uploads/2010/09/Capture-d’écran-2011-01-27-à-11.40.29.png
"Albert Einstein, Physicien théoricien allemand","Albert Einstein est surtout connu pour sa théorie de la relativité. Il a remporté le prix Nobel de physique en 1921. Son travail a révolutionné notre compréhension de l'espace, du temps et de l'énergie.",https://upload.wikimedia.org/wikipedia/commons/d/d3/Albert_Einstein_Head.jpg
"Nelson Mandela, Leader sud-africain de la lutte contre l'apartheid",Nelson Mandela a été emprisonné pendant 27 ans. Il est devenu le premier président noir de l'Afrique du Sud et a reçu le prix Nobel de la paix en 1993.,https://static.nationalgeographic.fr/files/styles/image_3200/public/nelson-mandela-09060209807.jpg?w=1900&h=1268
"Winston Churchill, Premier ministre britannique pendant la Seconde Guerre mondiale",Winston Churchill est célèbre pour sa résistance acharnée contre l'Allemagne nazie. Il a remporté le prix Nobel de littérature en 1953 pour ses écrits historiques et biographiques.,"https://m.media-amazon.com/images/I/71Enn4ZQHQL._AC_UF1000,1000_QL80_.jpg"
"Martin Luther King Jr., Pasteur et militant américain des droits civiques",Martin Luther King Jr. a dirigé le mouvement pour l'égalité raciale aux États-Unis. Il est célèbre pour son discours 'I Have a Dream' et a reçu le prix Nobel de la paix en 1964.,https://i.pinimg.com/236x/e0/ca/a9/e0caa90e6e18089646f63a464f07a1b1.jpg
"Mahatma Gandhi, Leader indien du mouvement pour l'indépendance",Mahatma Gandhi a prôné la non-violence et la désobéissance civile. Son influence a été cruciale dans la libération de l'Inde du joug britannique en 1947.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYEUZOOrGwJ9PxXxCH6hL4PGX6s96iGaVvMQ&s
"Franklin D. Roosevelt, 32ème président des États-Unis",Franklin D. Roosevelt a mené le pays pendant la Grande Dépression et la Seconde Guerre mondiale. Son New Deal a aidé à relancer l'économie américaine.,https://i.pinimg.com/236x/dc/07/68/dc0768bba8dca5823cfe18ebc370000b.jpg
"John F. Kennedy, 35ème président des États-Unis",John F. Kennedy est connu pour sa gestion de la crise des missiles cubains et pour avoir lancé le programme Apollo. Il a été assassiné en 1963 à Dallas.,https://i.pinimg.com/236x/c1/b7/88/c1b788c8ddaecc902294dd8b74de0ee5.jpg
"Steve Jobs, Cofondateur d'Apple Inc.","Steve Jobs est reconnu pour son rôle dans la révolution des ordinateurs personnels, des smartphones et des tablettes. Son approche innovante a profondément influencé l'industrie technologique.",https://viuz.com/wp-content/uploads/2011/08/steve-jobs1.png
"Pablo Picasso, Peintre et sculpteur espagnol","Pablo Picasso est un des artistes les plus influents du 20ème siècle. Co-fondateur du cubisme, il a révolutionné l'art moderne avec des œuvres comme 'Les Demoiselles d'Avignon'.",https://i.pinimg.com/236x/86/d8/97/86d89737a4fa7ea63fb7609d5afd6261.jpg
"Barack Obama, 44ème président des États-Unis","Barack Obama est le premier Afro-Américain à occuper ce poste. Son mandat a été marqué par des réformes majeures, notamment l'Affordable Care Act.",https://i.pinimg.com/236x/89/a7/54/89a754fbaee1c2e803b2b9e47f11de1b.jpg
"Elon Musk, Entrepreneur et inventeur","Elon Musk est le fondateur de SpaceX, Tesla et plusieurs autres entreprises. Il est connu pour ses ambitions dans l'exploration spatiale et les énergies renouvelables.",https://i.pinimg.com/236x/db/63/46/db6346a3f6f40ea88428797599a2c70e.jpg
"Bill Gates, Cofondateur de Microsoft","Bill Gates est l'un des pionniers de l'ère informatique. Il a également créé la Fondation Bill & Melinda Gates, une des plus grandes organisations philanthropiques au monde.",https://upload.wikimedia.org/wikipedia/commons/a/a0/Bill_Gates_2018.jpg
"Stephen Hawking, Physicien théoricien britannique",Stephen Hawking est connu pour ses travaux sur les trous noirs et la cosmologie. Son livre 'Une brève histoire du temps' est devenu un best-seller mondial.,https://upload.wikimedia.org/wikipedia/commons/e/eb/Stephen_Hawking.StarChild.jpg
"George Orwell, Écrivain et journaliste britannique",George Orwell est célèbre pour ses romans '1984' et 'La Ferme des animaux'. Ses œuvres critiquent le totalitarisme et défendent les valeurs démocratiques.,https://i.pinimg.com/236x/c3/1a/f8/c31af841d7e33da39c53fc3adc603d97.jpg
"Dalai Lama, Le 14ème Dalaï Lama","Tenzin Gyatso, est un leader spirituel tibétain. Exilé en Inde depuis 1959, il a reçu le prix Nobel de la paix en 1989 pour ses efforts non-violents contre l'occupation chinoise au Tibet.",https://i.pinimg.com/236x/ba/f0/7e/baf07e9878857f7ad7a9fbd9c548ca7b.jpg
"Pele, Joueur de football brésilien",Pelé est largement considéré comme l'un des meilleurs de tous les temps. Il a remporté trois Coupes du Monde et marqué plus de 1 000 buts en carrière.,https://i.pinimg.com/236x/3b/b9/75/3bb975e8b5a6a6384b7dafafed56ddf8.jpg
"Malcolm X, Activiste américain des droits civiques",Malcolm X a prôné l'émancipation noire et la défense armée contre le racisme. Son influence perdure dans les mouvements de justice sociale.,https://i.pinimg.com/236x/82/34/d2/8234d27bb0bf370d206ec86ad08d5293.jpg
"Mohammed Ali, Boxeur américain","Mohammed Ali est considéré comme l'un des plus grands boxeurs de tous les temps. Connu pour son charisme et ses compétences, il a aussi été un fervent défenseur des droits civiques.",https://i.pinimg.com/236x/40/12/47/4012478ebfbe01f53cf491be95c2e057.jpg
"Neil Armstrong, Astronaute américain","Neil Armstrong est le premier homme à avoir marché sur la Lune en 1969. Ses mots 'C'est un petit pas pour l'homme, un bond de géant pour l'humanité' sont gravés dans l'histoire.",https://i.pinimg.com/236x/42/aa/20/42aa20ad0262d86c5bd4625de6814672.jpg
"Jacques-Yves Cousteau, Océanographe français","Jacques-Yves Cousteau a popularisé l'exploration sous-marine avec ses documentaires. Inventeur du scaphandre autonome, il a grandement contribué à la connaissance des océans.",https://i.pinimg.com/236x/d8/d5/83/d8d583b2ef24eef304b4a7fb3bf00362.jpg
"David Bowie, Musicien et acteur britannique",David Bowie a influencé plusieurs générations avec sa musique innovante et ses alter ego comme Ziggy Stardust. Il a marqué la culture pop des années 70 jusqu'à sa mort en 2016.,https://i.pinimg.com/236x/96/6d/35/966d359ec73f05799c4c31e3ba982e52.jpg
"Mark Zuckerberg, Cofondateur de Facebook","Mark Zuckerberg est l'un des principaux architectes des réseaux sociaux modernes. En fondant Facebook, il a transformé la manière dont les gens se connectent et communiquent.",https://i.pinimg.com/236x/5b/17/94/5b1794959d614c34165997c58a5afec8.jpg
"Michael Jordan, Joueur de basket-ball américain",Michael Jordan est souvent considéré comme le plus grand joueur de basket-ball de tous les temps. Il a remporté six championnats NBA avec les Chicago Bulls.,https://i.pinimg.com/236x/14/9f/3c/149f3ccdadd8172b77f11a725a8ecfdb.jpg
"Elie Wiesel, Écrivain et survivant de l'Holocauste",Elie Wiesel est un auteur et lauréat du prix Nobel de la paix. Son œuvre 'La Nuit' raconte ses expériences dans les camps de concentration nazis.,https://i.pinimg.com/236x/04/2d/95/042d95a6f02bce61f8dbea399711afa6.jpg
"Carl Sagan, Astronome et communicateur scientifique",Carl Sagan a popularisé la science avec des œuvres comme 'Cosmos'. Il a joué un rôle clé dans la recherche de vie extraterrestre.,https://i.pinimg.com/474x/8a/dc/eb/8adcebe8d775edb5ce68be10cb94c442.jpg
"Jonas Salk, Médecin et chercheur américain",Jonas Salk a développé le premier vaccin efficace contre la polio. Son travail a permis de sauver des millions de vies à travers le monde.,https://upload.wikimedia.org/wikipedia/commons/5/59/Jonas_Salk_candid.jpg
